Brand,Category,Colour,Dimension,Factory URL,Features1,Features2,Features3,Features4,Features5,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,List Price,MPN,Offer Price,Options,Package Content,PM,Product Details,Product Name,Search Keyword,Shipping Fee,Size,Specification,Stock,Supplier SKU
 from Crazy Sales,ROOT,Colour 266,Dimension 266,http://www.gmail266.com?feed=123,Features 1 266,Features 2 266,Features 3 266,Features 4 266,Features 5 266,http://www.image1266.com,http://www.image2266.com,http://www.image3266.com,http://www.image4266.com,http://www.image5266.com,1366.00,MPN 266,1266.00,Option 266,Package Content 266,PM 266,Product Details 266,Product Name 266,Search Keyword 266,32.00,Size 266,Specification 266,266,SKU 266
 from Crazy Sales,ROOT,Colour 423,Dimension 423,http://www.gmail423.com?feed=123,Features 1 423,Features 2 423,Features 3 423,Features 4 423,Features 5 423,http://www.image1423.com,http://www.image2423.com,http://www.image3423.com,http://www.image4423.com,http://www.image5423.com,1523.00,MPN 423,1423.00,Option 423,Package Content 423,PM 423,Product Details 423,Product Name 423,Search Keyword 423,35.00,Size 423,Specification 423,423,SKU 423
 from Crazy Sales,ROOT,Colour 954,Dimension 954,http://www.gmail954.com?feed=123,Features 1 954,Features 2 954,Features 3 954,Features 4 954,Features 5 954,http://www.image1954.com,http://www.image2954.com,http://www.image3954.com,http://www.image4954.com,http://www.image5954.com,2054.00,MPN 954,1954.00,Option 954,Package Content 954,PM 954,Product Details 954,Product Name 954,Search Keyword 954,28.00,Size 954,Specification 954,954,SKU 954
 from Crazy Sales,ROOT,Colour 632,Dimension 632,http://www.gmail632.com?feed=123,Features 1 632,Features 2 632,Features 3 632,Features 4 632,Features 5 632,http://www.image1632.com,http://www.image2632.com,http://www.image3632.com,http://www.image4632.com,http://www.image5632.com,1732.00,MPN 632,1632.00,Option 632,Package Content 632,PM 632,Product Details 632,Product Name 632,Search Keyword 632,42.00,Size 632,Specification 632,632,SKU 632
 from Crazy Sales,ROOT,Colour 203,Dimension 203,http://www.gmail203.com?feed=123,Features 1 203,Features 2 203,Features 3 203,Features 4 203,Features 5 203,http://www.image1203.com,http://www.image2203.com,http://www.image3203.com,http://www.image4203.com,http://www.image5203.com,1303.00,MPN 203,1203.00,Option 203,Package Content 203,PM 203,Product Details 203,Product Name 203,Search Keyword 203,49.00,Size 203,Specification 203,203,SKU 203
 from Crazy Sales,ROOT,Colour 686,Dimension 686,http://www.gmail686.com?feed=123,Features 1 686,Features 2 686,Features 3 686,Features 4 686,Features 5 686,http://www.image1686.com,http://www.image2686.com,http://www.image3686.com,http://www.image4686.com,http://www.image5686.com,1786.00,MPN 686,1686.00,Option 686,Package Content 686,PM 686,Product Details 686,Product Name 686,Search Keyword 686,30.00,Size 686,Specification 686,686,SKU 686
 from Crazy Sales,ROOT,Colour 930,Dimension 930,http://www.gmail930.com?feed=123,Features 1 930,Features 2 930,Features 3 930,Features 4 930,Features 5 930,http://www.image1930.com,http://www.image2930.com,http://www.image3930.com,http://www.image4930.com,http://www.image5930.com,2030.00,MPN 930,1930.00,Option 930,Package Content 930,PM 930,Product Details 930,Product Name 930,Search Keyword 930,50.00,Size 930,Specification 930,930,SKU 930
 from Crazy Sales,ROOT,Colour 627,Dimension 627,http://www.gmail627.com?feed=123,Features 1 627,Features 2 627,Features 3 627,Features 4 627,Features 5 627,http://www.image1627.com,http://www.image2627.com,http://www.image3627.com,http://www.image4627.com,http://www.image5627.com,1727.00,MPN 627,1627.00,Option 627,Package Content 627,PM 627,Product Details 627,Product Name 627,Search Keyword 627,38.00,Size 627,Specification 627,627,SKU 627
 from Crazy Sales,ROOT,Colour 773,Dimension 773,http://www.gmail773.com?feed=123,Features 1 773,Features 2 773,Features 3 773,Features 4 773,Features 5 773,http://www.image1773.com,http://www.image2773.com,http://www.image3773.com,http://www.image4773.com,http://www.image5773.com,1873.00,MPN 773,1773.00,Option 773,Package Content 773,PM 773,Product Details 773,Product Name 773,Search Keyword 773,48.00,Size 773,Specification 773,773,SKU 773
 from Crazy Sales,ROOT,Colour 965,Dimension 965,http://www.gmail965.com?feed=123,Features 1 965,Features 2 965,Features 3 965,Features 4 965,Features 5 965,http://www.image1965.com,http://www.image2965.com,http://www.image3965.com,http://www.image4965.com,http://www.image5965.com,2065.00,MPN 965,1965.00,Option 965,Package Content 965,PM 965,Product Details 965,Product Name 965,Search Keyword 965,26.00,Size 965,Specification 965,965,SKU 965
